Wall time,Step,Value
1524110852.014248,105301,0.49462890625
1524110897.249109,105401,0.48876953125
1524110942.664083,105501,0.47216796875
1524110990.474806,105601,0.4931640625
1524111035.805222,105701,0.48828125
1524111081.283226,105801,0.4755859375
1524111171.93794,106001,0.47998046875
1524111265.317529,106201,0.474609375
1524111310.771472,106301,0.509765625
1524111356.489438,106401,0.48828125
1524111401.846641,106501,0.46337890625
1524111538.134383,106801,0.5068359375
1524111586.118972,106901,0.49462890625
1524111631.958245,107001,0.48193359375
1524111677.858924,107101,0.484375
1524111723.790018,107201,0.48486328125
1524111769.749692,107301,0.48046875
1524111863.774508,107501,0.4814453125
1524111909.482812,107601,0.4921875
1524112000.901911,107801,0.4814453125
1524112137.015611,108101,0.49560546875
1524112184.547652,108201,0.50341796875
1524112229.832636,108301,0.482421875
1524112275.202581,108401,0.46728515625
1524112320.654878,108501,0.48486328125
1524112365.899348,108601,0.49755859375
1524112411.176913,108701,0.48681640625
1524112458.865581,108801,0.48486328125
1524112549.47415,109001,0.49365234375
1524112594.911561,109101,0.49267578125
1524112823.573473,109601,0.5
1524112869.045356,109701,0.50390625
1524112914.228742,109801,0.49658203125
1524112959.571921,109901,0.4765625
1524113005.03037,110001,0.49462890625
1524113053.252233,110101,0.4990234375
1524113098.69026,110201,0.46728515625
1524113144.253437,110301,0.48876953125
1524113280.347801,110601,0.47265625
1524113325.61002,110701,0.48193359375
1524113373.133743,110801,0.4814453125
1524113418.912618,110901,0.45458984375
1524113509.945203,111101,0.5
1524113555.721393,111201,0.4794921875
1524113649.421314,111401,0.47607421875
1524113695.211541,111501,0.48779296875
1524113740.514229,111601,0.48828125
1524113786.217298,111701,0.47314453125
1524113832.072429,111801,0.50732421875
1524113877.545201,111901,0.50244140625
1524113922.949439,112001,0.47900390625
1524113971.154291,112101,0.4599609375
1524114062.365288,112301,0.49755859375
1524114108.226715,112401,0.5029296875
1524114293.665811,112801,0.484375
1524114339.44435,112901,0.48681640625
1524114430.604053,113101,0.486328125
1524114521.766202,113301,0.4853515625
1524114569.729739,113401,0.49609375
1524114615.789947,113501,0.48681640625
1524114662.019328,113601,0.46484375
1524114708.135493,113701,0.4736328125
1524114754.225854,113801,0.501953125
1524114800.768161,113901,0.47314453125
1524114895.990576,114101,0.4931640625
1524114987.853139,114301,0.48291015625
1524115033.296192,114401,0.505859375
1524115078.880708,114501,0.4931640625
1524115124.604277,114601,0.48779296875
1524115218.733953,114801,0.48876953125
1524115264.236875,114901,0.46728515625
1524115356.275281,115101,0.49951171875
1524115401.766896,115201,0.474609375
1524115449.835463,115301,0.49365234375
1524115495.944689,115401,0.48046875
1524115541.861012,115501,0.48291015625
1524115587.85009,115601,0.48876953125
1524115633.662963,115701,0.48486328125
1524115679.52401,115801,0.4794921875
1524115725.310591,115901,0.49755859375
